year,province,variety,plantingarea,harvestedarea,production,YieldPA,YieldHA,portionplant
2012,Chiang Rai,NativeRice,56793,56354,29929,527,531,4.2
2012,Chiang Rai,RD6,928946,920803,562722,606,611,68.72
2012,Chiang Rai,RD15,126462,126135,76741,607,608,9.35
2012,Chiang Rai,KDML105,95452,95029,60025,629,632,7.06
2012,Chiang Rai,SuphanBuri60,13060,13060,9218,706,706,0.97
2012,Chiang Rai,PhotoperiodSensitiveRice,25737,25737,19348,752,752,1.9
2012,Chiang Rai,NonPhotoperiodSensitiveRice,65905,65893,50262,763,763,4.88
2012,Chiang Rai,ChaiNat1,3640,3640,2866,787,787,0.27
2012,Chiang Rai,PTT1,12137,12137,9053,746,746,0.9
2012,Chiang Rai,SuphanBuri1,23599,23599,18253,773,773,1.75
2012,Phayao,NativeRice,17522,16393,7565,432,461,2.62
2012,Phayao,RD6,409158,388098,229415,561,591,61.08
2012,Phayao,RD15,72848,70971,41080,564,579,10.87
2012,Phayao,KDML105,113706,110488,55052,484,498,16.97
2012,Phayao,PhotoperiodSensitiveRice,14926,14830,9548,640,644,2.23
2012,Phayao,NonPhotoperiodSensitiveRice,35335,34043,26548,751,780,5.28
2012,Phayao,ChaiNat1,2947,2896,1632,554,564,0.44
2012,Phayao,PTT1,3432,3432,1892,551,551,0.51
2012,Lampang,NativeRice,13686,13560,5935,434,438,3.07
2012,Lampang,RD6,338193,330641,183835,544,556,75.95
2012,Lampang,RD15,3029,3029,1921,634,634,0.68
2012,Lampang,KDML105,29232,28454,16237,555,571,6.57
2012,Lampang,PhotoperiodSensitiveRice,22596,22418,12393,548,553,5.08
2012,Lampang,NonPhotoperiodSensitiveRice,36285,35541,20138,555,567,8.15
2012,Lampang,PTT1,2241,2241,1191,531,531,0.5
2012,Lamphun,NativeRice,10758,10136,5117,476,505,8.99
2012,Lamphun,RD6,80783,76765,48166,596,627,67.51
2012,Lamphun,RD15,912,878,515,565,587,0.76
2012,Lamphun,KDML105,10290,10001,5681,552,568,8.6
2012,Lamphun,PhotoperiodSensitiveRice,3650,3588,2420,663,674,3.05
2012,Lamphun,NonPhotoperiodSensitiveRice,12570,11878,7844,624,660,10.5
2012,Lamphun,PTT1,705,705,382,542,542,0.59
2012,Chiang Mai,NativeRice,43834,42778,19609,447,458,8.81
2012,Chiang Mai,RD6,191011,185323,120611,631,651,38.38
2012,Chiang Mai,RD15,4483,4483,2552,569,569,0.9
2012,Chiang Mai,KDML105,92948,90559,57978,624,640,18.68
2012,Chiang Mai,SuphanBuri60,1567,1567,1068,682,682,0.32
2012,Chiang Mai,PhotoperiodSensitiveRice,14943,14647,9370,627,640,3
2012,Chiang Mai,NonPhotoperiodSensitiveRice,129608,127143,97334,751,766,26.05
2012,Chiang Mai,PTT1,15984,15620,10925,683,699,3.21
2012,Chiang Mai,SuphanBuri1,3244,3116,2266,699,727,0.65
2012,Mae Hong Son,NativeRice,37354,36873,14696,393,399,25.87
2012,Mae Hong Son,RD6,10588,10517,5806,548,552,7.33
2012,Mae Hong Son,RD15,11891,11648,5180,436,445,8.24
2012,Mae Hong Son,KDML105,34696,34093,14876,429,436,24.03
2012,Mae Hong Son,PhotoperiodSensitiveRice,17080,16921,7560,443,447,11.83
2012,Mae Hong Son,NonPhotoperiodSensitiveRice,32778,32335,18675,570,578,22.7
2012,Tak,NativeRice,100476,93707,35559,354,379,34.39
2012,Tak,RD6,24951,23225,10574,424,455,8.54
2012,Tak,RD15,4835,4728,2832,586,599,1.65
2012,Tak,KDML105,110043,103097,47991,436,465,37.67
2012,Tak,SuphanBuri60,1302,1302,757,581,581,0.45
2012,Tak,NonPhotoperiodSensitiveRice,28625,26677,16345,571,613,9.8
2012,Tak,ChaiNat1,9442,9079,5892,624,649,3.23
2012,Tak,PTT1,1693,1693,1007,595,595,0.58
2012,Tak,SuphanBuri1,10780,10292,7581,703,737,3.69
2012,Kamphaeng Phet,NativeRice,28399,25700,12594,443,490,1.91
2012,Kamphaeng Phet,RD6,17470,16363,9449,541,577,1.17
2012,Kamphaeng Phet,RD15,2112,2112,1260,597,597,0.14
2012,Kamphaeng Phet,KDML105,84912,83963,40403,476,481,5.71
2012,Kamphaeng Phet,SuphanBuri60,43059,42596,26657,619,626,2.89
2012,Kamphaeng Phet,PhotoperiodSensitiveRice,56325,56325,32733,581,581,3.79
2012,Kamphaeng Phet,NonPhotoperiodSensitiveRice,788656,781377,488135,619,625,53.01
