year,ID_01,province ENG,method,planting area(rai),harvesting area (rai),production (ton),yield (Kg/rai) plant,yield (Kg/rai) harvest,amount Seeds (tons),seed utilization rate per rai (Kg/rai)
2012,1,Amnat Charoen,Transplant,750131,619224,205359,274,332,4891,6.52
2012,1,Amnat Charoen,DryBroadcast,276480,229041,70525,255,308,3467,12.54
2012,1,Amnat Charoen,PlacingMachine,3290,2640,743,226,281,24,7.29
2012,2,Ang Thong,Transplant,5806,5755,3843,662,668,72,12.4
2012,2,Ang Thong,WetBroadcast,326661,326347,219169,671,672,9601,29.39
2012,2,Ang Thong,DryBroadcast,13139,13018,7742,589,595,383,29.15
2012,46,Ayutthaya,Transplant,1143,1130,799,699,707,15,13.12
2012,46,Ayutthaya,WetBroadcast,808105,795033,534332,661,672,22999,28.46
2012,46,Ayutthaya,DryBroadcast,150510,145485,81637,542,561,4646,30.87
2012,3,Bangkok Metropolis,Transplant,595,588,424,713,721,6,10.08
2012,3,Bangkok Metropolis,WetBroadcast,112707,111932,75938,674,678,3119,27.67
2012,4,Bueng Kan,Transplant,487410,402170,131741,270,328,2871,5.89
2012,4,Bueng Kan,WetBroadcast,11451,9280,2981,260,321,129,11.27
2012,4,Bueng Kan,DryBroadcast,56525,45152,12708,225,281,487,8.62
2012,5,Buri Ram,Transplant,1261425,1080895,442466,351,409,9385,7.44
2012,5,Buri Ram,WetBroadcast,20013,16895,6618,331,392,434,21.69
2012,5,Buri Ram,DryBroadcast,1774983,1542981,547891,309,355,45386,25.57
2012,6,Chachoengsao,Transplant,25026,24062,15906,636,661,253,10.11
2012,6,Chachoengsao,WetBroadcast,603338,594406,389560,646,655,17684,29.31
2012,6,Chachoengsao,DryBroadcast,112282,106060,53383,475,503,2441,21.74
2012,7,Chai Nat,Transplant,27964,27867,18595,665,667,376,13.45
2012,7,Chai Nat,WetBroadcast,708012,705372,469430,663,666,19704,27.83
2012,7,Chai Nat,DryBroadcast,51617,51439,31351,607,609,1345,26.06
2012,8,Chaiyaphum,Transplant,926614,838172,333746,360,398,6681,7.21
2012,8,Chaiyaphum,WetBroadcast,20165,18313,6930,344,378,369,18.3
2012,8,Chaiyaphum,DryBroadcast,753839,690811,244009,324,353,12642,16.77
2012,8,Chaiyaphum,PlacingMachine,11831,10400,3876,328,373,108,9.13
2012,9,Chanthaburi,Transplant,14702,14702,5554,378,378,152,10.34
2012,9,Chanthaburi,WetBroadcast,9735,9735,3518,361,361,172,17.67
2012,9,Chanthaburi,DryBroadcast,1958,1958,643,328,328,31,15.83
2012,10,Chiang Mai,Transplant,429222,417790,282284,658,676,4511,10.51
2012,10,Chiang Mai,WetBroadcast,34116,33610,22980,674,684,579,16.97
2012,10,Chiang Mai,DryBroadcast,12630,12465,8869,702,712,211,16.71
2012,10,Chiang Mai,PlacingMachine,21654,21371,7580,350,355,204,9.42
2012,11,Chiang Rai,Transplant,1194204,1185914,757615,634,639,10999,9.21
2012,11,Chiang Rai,WetBroadcast,56147,56129,35554,633,633,936,16.67
2012,11,Chiang Rai,DryBroadcast,66755,66243,31528,472,476,971,14.55
2012,11,Chiang Rai,PlacingMachine,34625,34101,13720,396,402,324,9.36
2012,12,Chon Buri,Transplant,21393,19751,10991,514,556,216,10.1
2012,12,Chon Buri,WetBroadcast,33684,31368,16218,481,517,849,25.2
2012,12,Chon Buri,DryBroadcast,30785,28132,11916,387,424,527,17.12
2012,13,Chumphon,Transplant,2812,2744,843,300,307,26,9.25
2012,13,Chumphon,WetBroadcast,3745,3688,1550,414,420,77,20.56
2012,13,Chumphon,PlacingMachine,302,299,105,348,351,3,9.93
2012,14,Kalasin,Transplant,1211508,999748,352597,291,353,9256,7.64
2012,14,Kalasin,WetBroadcast,173544,142650,49460,285,347,3542,20.41
2012,14,Kalasin,DryBroadcast,199199,159336,67609,339,424,3062,15.37
2012,15,Kamphaeng Phet,Transplant,88365,87869,48345,547,550,940,10.64
2012,15,Kamphaeng Phet,WetBroadcast,1323853,1311018,811728,613,619,36777,27.78
2012,15,Kamphaeng Phet,DryBroadcast,75383,74960,35700,474,476,2002,26.56
2012,16,Kanchanaburi,Transplant,27914,27472,18009,645,656,371,13.29
2012,16,Kanchanaburi,WetBroadcast,233707,232577,158684,679,682,6369,27.25
2012,16,Kanchanaburi,DryBroadcast,151657,146034,74023,488,507,3666,24.17
2012,16,Kanchanaburi,PlacingMachine,7155,5879,3112,435,529,52,7.27
2012,17,Khon Kaen,Transplant,1204834,987977,350309,291,355,8169,6.78
2012,17,Khon Kaen,WetBroadcast,55442,45435,16220,293,357,1079,19.46
2012,17,Khon Kaen,DryBroadcast,1308589,1069035,338070,258,316,21278,16.26
2012,17,Khon Kaen,PlacingMachine,6082,4855,1610,265,332,52,8.55
2012,18,Krabi,Transplant,2180,2180,783,359,359,12,5.5
2012,18,Krabi,PlacingMachine,1072,1072,342,319,319,6,5.6
2012,19,Lampang,Transplant,412961,403742,225604,546,559,4662,11.29
2012,19,Lampang,WetBroadcast,17908,17858,9549,533,535,267,14.91
2012,19,Lampang,DryBroadcast,5879,5810,3028,515,521,76,12.93
2012,19,Lampang,PlacingMachine,8514,8474,3469,407,409,90,10.57
2012,20,Lamphun,Transplant,104052,99261,63178,607,636,1035,9.95
2012,20,Lamphun,WetBroadcast,6041,5767,3444,570,597,82,13.57
2012,20,Lamphun,DryBroadcast,3453,3191,1286,372,403,51,14.77
2012,20,Lamphun,PlacingMachine,6122,5732,2217,362,387,59,9.64
2012,21,Loei,Transplant,378320,371530,145899,386,393,3980,10.52
2012,21,Loei,DryBroadcast,9259,9038,3211,347,355,116,12.53
2012,21,Loei,PlacingMachine,46593,45911,16056,345,350,558,11.98
2012,22,Lop Buri,Transplant,51843,51072,30094,580,589,629,12.13
2012,22,Lop Buri,WetBroadcast,541200,532816,315224,582,592,14493,26.78
2012,22,Lop Buri,DryBroadcast,145737,139267,58367,400,419,3394,23.29
2012,23,Mae Hong Son,Transplant,100172,98784,52499,524,531,1039,10.37
2012,23,Mae Hong Son,PlacingMachine,44215,43603,14294,323,328,567,12.82
