year,province(ENG),variety ENG,Planting area (rai),Harvested area (rai),Production (ton),Yield by Planting area (kg/rai),Yield by Harvested area (kg/rai),Portion of planting in province (percent)
2016,Chiang Rai,NativeRice,"29,347","28,592","13,496",460,472,2.44
2016,Chiang Rai,RD6,"748,044","728,598","408,068",546,560,62.25
2016,Chiang Rai,RD15,"129,912","126,856","68,616",528,541,10.81
2016,Chiang Rai,KDML105,"118,460","115,746","63,534",536,549,9.86
2016,Chiang Rai,SuphanBuri60,"14,077","13,739","9,356",665,681,1.17
2016,Chiang Rai,PhotoperiodSensitiveRice,"14,135","13,757","9,991",707,726,1.18
2016,Chiang Rai,NonPhotoperiodSensitiveRice ,"135,250","131,357","87,801",649,668,11.26
2016,Chiang Rai,ChaiNat1,"2,513","2,445","1,722",685,704,0.21
2016,Chiang Rai,SupanburiAromaticRice,675,658,451,668,685,0.06
2016,Chiang Rai,PTT1,"6,257","6,096","4,006",640,657,0.52
2016,Chiang Rai,SuphanBuri1,"2,865","2,784","1,534",535,551,0.24
2016,Phayao,NativeRice,"16,736","15,860","7,485",447,472,2.68
2016,Phayao,RD6,"185,460","176,242","79,890",431,453,29.79
2016,Phayao,RD15,"61,984","58,628","29,479",476,503,9.96
2016,Phayao,KDML105,"256,652","243,014","105,054",409,432,41.22
2016,Phayao,PhotoperiodSensitiveRice,"69,666","65,852","34,153",490,519,11.19
2016,Phayao,NonPhotoperiodSensitiveRice ,"27,310","25,890","17,249",632,666,4.39
2016,Phayao,ChaiNat1,"2,819","2,680","1,547",549,577,0.45
2016,Phayao,PTT1,"2,013","1,898",989,491,521,0.32
2016,Lampang,NativeRice,"5,763","5,716","2,213",384,387,1.37
2016,Lampang,RD6,"302,462","300,113","155,761",515,519,71.69
2016,Lampang,KDML105,"35,565","35,246","18,502",520,525,8.43
2016,Lampang,PhotoperiodSensitiveRice,"7,111","7,053","3,899",548,553,1.69
2016,Lampang,NonPhotoperiodSensitiveRice ,"70,990","70,332","37,605",530,535,16.82
2016,Lamphun,NativeRice,"8,534","8,413","4,156",487,494,7.3
2016,Lamphun,RD6,"71,069","70,112","43,270",609,617,60.76
2016,Lamphun,RD15,727,717,413,568,576,0.62
2016,Lamphun,KDML105,"11,133","10,942","6,484",582,593,9.52
2016,Lamphun,PhotoperiodSensitiveRice,"2,421","2,378","1,577",651,663,2.07
2016,Lamphun,NonPhotoperiodSensitiveRice ,"22,258","21,935","14,550",654,663,19.03
2016,Lamphun,PTT1,820,808,505,616,625,0.7
2016,Chiang Mai,NativeRice,"85,610","84,684","39,774",465,470,19.46
